TermID	Name	Value	LogSize	Frequency	Uniqueness	Dispensability	Representative
GO:0048585	"negative regulation of response to stimulus"	NaN	3.2132520521963968	7.883557014579512	0.9483139276702667	0.35374806	null
GO:1902531	"regulation of intracellular signal transduction"	1902531	NaN	3.2203696324513946	8.013903640050207	0.9451212781453715	0.52748774	48585
GO:0010648	"negative regulation of cell communication"	10648	NaN	3.1398790864012365	6.657333204595925	0.9408785104987012	0.5748097	48585
GO:0023057	"negative regulation of signaling"	23057	NaN	3.1389339402569236	6.642850246210292	0.9441385784233806	0.57431766	48585
GO:0009968	"negative regulation of signal transduction"	9968	NaN	3.095169351431755	6.005600077242445	0.9393199100245683	0.63047736	48585
GO:0043067	"regulation of programmed cell death"	NaN	3.212986184736668	7.878729361784301	0.964685992294188	0.08903788	null
GO:0044281	"small molecule metabolic process"	NaN	3.2073650374690716	7.77734865308487	0.9212607843197047	0.22246747	null
GO:0042981	"regulation of apoptotic process"	NaN	3.199480914862356	7.637346722023752	0.9648493579099845	0.08115248	null
GO:0009719	"response to endogenous stimulus"	NaN	3.1646502159342966	7.048373081008013	0.9821300403429145	0.15607498	null
GO:0030030	"cell projection organization"	NaN	3.1189257528257768	6.343535772907212	0.9203764676969993	0.31064959	null
GO:0007049	"cell cycle"	NaN	3.1136091510730277	6.2662933281838376	0.9808435947914919	0.02126082	null
GO:1901566	"organonitrogen compound biosynthetic process"	NaN	3.1085650237328344	6.1938785362556725	0.8777823213095475	0.44349929	null
GO:0016192	"vesicle-mediated transport"	NaN	3.1048284036536553	6.140774355508352	0.8445700946433056	0.4927905	null
GO:0055085	"transmembrane transport"	55085	NaN	3.1085650237328344	6.1938785362556725	0.8444014275881315	0.51580892	16192
GO:0006629	"lipid metabolic process"	NaN	3.097604328874411	6.0393936468089215	0.9113796385934925	0.24680575	null
GO:0009628	"response to abiotic stimulus"	NaN	3.062581984228163	5.571111325673458	0.9826613914740501	0.12812441	null
GO:0048870	"cell motility"	NaN	3.0595634179012676	5.53249010331177	0.9811644063589914	0.02012918	null
GO:1901698	"response to nitrogen compound"	NaN	3.0546130545568877	5.469730616974027	0.9668236346133676	0.33786623	null
GO:0040012	"regulation of locomotion"	NaN	3.0170333392987803	5.0159312542241965	0.9700646396592477	0.06414313	null
GO:0044087	"regulation of cellular component biogenesis"	NaN	2.997386384397313	4.793859225644492	0.9671257621205799	0.06522423	null
GO:0006811	"monoatomic ion transport"	NaN	2.99563519459755	4.774548614463648	0.8622304260686847	0.43259592	null
GO:1901135	"carbohydrate derivative metabolic process"	NaN	2.993876914941211	4.755238003282804	0.9177995422636668	0.21267306	null
GO:0016477	"cell migration"	NaN	2.975431808509263	4.557304238679154	0.9745907976466858	0.01941633	null
GO:0001667	"ameboidal-type cell migration"	1667	NaN	2.3483048630481607	1.071738920536835	0.9777993357546778	0.71728104	16477
GO:0001764	"neuron migration"	1764	NaN	2.2174839442139063	0.7917350584145989	0.9171514219123001	0.68988142	16477
GO:0030334	"regulation of cell migration"	NaN	2.9731278535996988	4.5331659747031	0.9483382758994122	0.07424863	null
GO:2000145	"regulation of cell motility"	2000145	NaN	2.998259338423699	4.803514531234914	0.9481511382751745	0.9274536	30334
GO:0040017	"positive regulation of locomotion"	40017	NaN	2.7715874808812555	2.8483151491744714	0.9418930025634014	0.8545895	30334
GO:0030335	"positive regulation of cell migration"	30335	NaN	2.739572344450092	2.645553731775611	0.9385945437725512	0.8593456	30334
GO:0030336	"negative regulation of cell migration"	30336	NaN	2.4533183400470375	1.366225741044704	0.9444748124569052	0.78246863	30334
GO:2001222	"regulation of neuron migration"	2001222	NaN	1.7708520116421442	0.28000386212223616	0.9618755398143264	0.64423484	30334
GO:0007267	"cell-cell signaling"	NaN	2.967547976218862	4.475234141160567	0.9414069772094632	0.06271202	null
