TermID	Name	Value	LogSize	Frequency	Uniqueness	Dispensability	Representative
GO:0010557	"positive regulation of macromolecule biosynthetic process"	NaN	3.405346360175709	12.271893405426281	0.8796628190453137	0.36453319	null
GO:0051240	"positive regulation of multicellular organismal process"	NaN	3.2576785748691846	8.733223906536642	0.919951298444663	0.27056177	null
GO:0044281	"small molecule metabolic process"	NaN	3.2073650374690716	7.77734865308487	0.9091905353223139	0.22246747	null
GO:0042592	"homeostatic process"	NaN	3.184975190698261	7.386308776672782	1	0	null
GO:0009719	"response to endogenous stimulus"	NaN	3.1646502159342966	7.048373081008013	0.9854678396014349	0.15607498	null
GO:0080134	"regulation of response to stress"	NaN	3.1271047983648077	6.464227092787486	0.9529072843534324	0.41599566	null
GO:0030030	"cell projection organization"	NaN	3.1189257528257768	6.343535772907212	0.9305072982507798	0.31064959	null
GO:0007049	"cell cycle"	NaN	3.1136091510730277	6.2662933281838376	0.9836988650383329	0.02126082	null
GO:1901566	"organonitrogen compound biosynthetic process"	NaN	3.1085650237328344	6.1938785362556725	0.855344957279067	0.45401833	null
GO:0016192	"vesicle-mediated transport"	NaN	3.1048284036536553	6.140774355508352	0.9277286485034429	0.4927905	null
GO:0055085	"transmembrane transport"	55085	NaN	3.1085650237328344	6.1938785362556725	0.9276407885934027	0.51580892	16192
GO:0006508	"proteolysis"	NaN	3.0923696996291206	5.966978854880757	0.8626706582077898	0.452212	null
GO:0009628	"response to abiotic stimulus"	NaN	3.062581984228163	5.571111325673458	0.9859010637750875	0.13917291	null
GO:0048870	"cell motility"	NaN	3.0595634179012676	5.53249010331177	0.9839789597879627	0.02012918	null
GO:1901698	"response to nitrogen compound"	NaN	3.0546130545568877	5.469730616974027	0.9723120031386229	0.33786623	null
GO:0040012	"regulation of locomotion"	NaN	3.0170333392987803	5.0159312542241965	0.9618142896204216	0.06387999	null
GO:0051726	"regulation of cell cycle"	NaN	3.016197353512439	5.006275948633774	0.9581947768167777	0.07266962	null
GO:0051174	"regulation of phosphorus metabolic process"	NaN	2.9960736544852753	4.779376267258859	0.9297826432317311	0.27364943	null
GO:0006811	"monoatomic ion transport"	NaN	2.99563519459755	4.774548614463648	0.9435165217169372	0.43259592	null
GO:1901135	"carbohydrate derivative metabolic process"	NaN	2.993876914941211	4.755238003282804	0.904351372891385	0.12999612	null
GO:0009057	"macromolecule catabolic process"	NaN	2.989894563718773	4.711789128125905	0.85772301675393	0.45749758	null
GO:1901565	"organonitrogen compound catabolic process"	1901565	NaN	3.0511525224473814	5.426281741817129	0.8390449796763302	0.78339828	9057
GO:0044248	"cellular catabolic process"	44248	NaN	3.037027879755775	5.2524862411895334	0.8443125576259258	0.71856512	9057
