TermID	Name	Value	LogSize	Frequency	Uniqueness	Dispensability	Representative
GO:0000302	"response to reactive oxygen species"	NaN	2.287801729930226	0.9317369894757168	0.9606618087423677	0.34860999	null
GO:0034599	"cellular response to oxidative stress"	34599	NaN	2.3541084391474008	1.0862218789224678	0.9460842921065299	0.85402867	302
GO:0034614	"cellular response to reactive oxygen species"	34614	NaN	2.1367205671564067	0.6565607801486917	0.9445088142840644	0.90732743	302
GO:0042542	"response to hydrogen peroxide"	42542	NaN	2.0681858617461617	0.5600077242444723	0.9603420488137361	0.79664997	302
GO:0070301	"cellular response to hydrogen peroxide"	70301	NaN	1.8920946026904804	0.3717292652312446	0.9458150270503811	0.85944752	302
GO:1901701	"cellular response to oxygen-containing compound"	1901701	NaN	3.048053173115609	5.387660519455441	0.9419760448435852	0.60680893	302
GO:0000338	"protein deneddylation"	NaN	1.0413926851582251	0.04827652795210968	0.9511375820986394	0.30878226	null
GO:0000910	"cytokinesis"	NaN	2.0530784434834195	0.5406971130636284	0.9846508708623153	0.01230408	null
GO:0032506	"cytokinetic process"	32506	NaN	1.6127838567197355	0.19310611180843873	0.9859020325670497	0.62710134	910
GO:0001881	"receptor recycling"	NaN	1.414973347970818	0.1206913198802742	0.9613098460782746	0.09348537	null
GO:0003012	"muscle system process"	NaN	2.423245873936808	1.2745003379356956	0.9721621768425039	0.36336591	null
GO:0003013	"circulatory system process"	NaN	2.6720978579357175	2.2641691609539443	0.9704006461870388	0.40388416	null
GO:0003015	"heart process"	NaN	2.012837224705172	0.4924205851115188	0.96845198002203	0.32884661	null
GO:0008015	"blood circulation"	8015	NaN	2.6444385894678386	2.124167229892826	0.9636671091170185	0.80786511	3015
GO:0010232	"vascular transport"	10232	NaN	1.2787536009528289	0.08689775031379744	0.8921856233617309	0.62202793	3015
GO:0086103	"G protein-coupled receptor signaling pathway involved in heart process"	86103	NaN	1	0.04344887515689872	0.9225980584411604	0.56717204	3015
GO:0150104	"transport across blood-brain barrier"	150104	NaN	1.255272505103306	0.08207009751858646	0.8926700303695677	0.59621759	3015
GO:0005975	"carbohydrate metabolic process"	NaN	2.6127838567197355	1.9745099932412862	0.9506720152281866	0.18830561	null
GO:0006091	"generation of precursor metabolites and energy"	NaN	2.5646660642520893	1.7669209230472143	0.9392997804675353	0.18716918	null
GO:0006457	"protein folding"	NaN	2.255272505103306	0.8641498503427634	0.9196650584496886	0.3383156	null
GO:0061077	"chaperone-mediated protein folding"	61077	NaN	1.8195439355418688	0.31379743168871294	0.9271033267469162	0.71295516	6457
GO:0006470	"protein dephosphorylation"	NaN	1.662757831681574	0.21724437578449357	0.9140561841598379	0.43689229	null
GO:0006508	"proteolysis"	NaN	3.0923696996291206	5.966978854880757	0.9246735100312466	0.42787978	null
GO:0006518	"peptide metabolic process"	NaN	2.74350976472843	2.6696919957516654	0.9338081076007895	0.28575543	null
GO:0002181	"cytoplasmic translation"	2181	NaN	2.12057393120585	0.6324225161726369	0.9095051229740145	0.84971298	6518
GO:0006412	"translation"	6412	NaN	2.5888317255942073	1.868301631746645	0.8988074181357735	0.81615439	6518
GO:0043043	"peptide biosynthetic process"	43043	NaN	2.6148972160331345	1.9841652988317078	0.9023784043864685	0.90734276	6518
GO:0006575	"cellular modified amino acid metabolic process"	NaN	2.2430380486862944	0.8400115863667086	0.9320389431772848	0.3026101	null
GO:0006605	"protein targeting"	NaN	2.3783979009481375	1.1489813652602103	0.8707926819760181	0.48584679	null
GO:0006629	"lipid metabolic process"	NaN	3.097604328874411	6.0393936468089215	0.943453282316959	0.24680575	null
GO:0006638	"neutral lipid metabolic process"	NaN	2.037426497940624	0.5213865018827846	0.9322402501929179	0.1653828	null
GO:0006644	"phospholipid metabolic process"	6644	NaN	2.53655844257153	1.6558849087573622	0.8917686266991615	0.72247437	6638
GO:0008610	"lipid biosynthetic process"	8610	NaN	2.727541257028556	2.5731389398474462	0.92586937643814	0.59156743	6638
GO:0044255	"cellular lipid metabolic process"	44255	NaN	2.9698816437465	4.499372405136622	0.9163805721429993	0.78013348	6638
GO:0046486	"glycerolipid metabolic process"	46486	NaN	2.537819095073274	1.660712561552573	0.9237038303805679	0.6799072	6638
GO:0006811	"monoatomic ion transport"	NaN	2.99563519459755	4.774548614463648	0.8792867606597842	0.44917383	null
GO:0006820	"monoatomic anion transport"	NaN	2.225309281725863	0.8062180168002318	0.8889608577956596	0.47798948	null
GO:0006812	"monoatomic cation transport"	6812	NaN	2.9148718175400505	3.963502944868205	0.8686004551951614	0.87150137	6820
GO:0006813	"potassium ion transport"	6813	NaN	2.271841606536499	0.8979434199092402	0.8861417689621565	0.76242213	6820
