TermID	Name	Value	LogSize	Frequency	Uniqueness	Dispensability	Representative
GO:0001541	"ovarian follicle development"	NaN	1.8573324964312685	0.34276334845997875	0.9609311837073132	0.40533576	null
GO:0005975	"carbohydrate metabolic process"	NaN	2.6127838567197355	1.9745099932412862	0.9516568050108289	0.12730495	null
GO:0006081	"cellular aldehyde metabolic process"	NaN	1.8750612633917	0.35724630684561165	0.948371203364915	0.15110884	null
GO:0006091	"generation of precursor metabolites and energy"	NaN	2.5646660642520893	1.7669209230472143	0.940609134859395	0.17932148	null
GO:0006457	"protein folding"	NaN	2.255272505103306	0.8641498503427634	0.915826255723702	0.45142464	null
GO:0061077	"chaperone-mediated protein folding"	61077	NaN	1.8195439355418688	0.31379743168871294	0.9235203982454253	0.71295516	6457
GO:0006470	"protein dephosphorylation"	NaN	1.662757831681574	0.21724437578449357	0.916440971616038	0.43689229	null
GO:0006473	"protein acetylation"	NaN	1.3979400086720377	0.11586366708506324	0.939209807570957	0.38453133	null
GO:0006508	"proteolysis"	NaN	3.0923696996291206	5.966978854880757	0.9163365182521922	0.48704763	null
GO:0006515	"protein quality control for misfolded or incompletely synthesized proteins"	NaN	1.3010299956639813	0.0917254031090084	0.9296391858263394	0.46532118	null
GO:0006518	"peptide metabolic process"	NaN	2.74350976472843	2.6696919957516654	0.9231278008836493	0.26404581	null
GO:0002181	"cytoplasmic translation"	2181	NaN	2.12057393120585	0.6324225161726369	0.8990069907392267	0.84971298	6518
GO:0006412	"translation"	6412	NaN	2.5888317255942073	1.868301631746645	0.8874002842706153	0.81615439	6518
GO:0032543	"mitochondrial translation"	32543	NaN	2.0453229787866576	0.5310418074732065	0.9006771063472084	0.83360801	6518
GO:0043043	"peptide biosynthetic process"	43043	NaN	2.6148972160331345	1.9841652988317078	0.8946939213687574	0.90734276	6518
GO:0043604	"amide biosynthetic process"	43604	NaN	2.720159303405957	2.5296900646905476	0.9003010089196806	0.85003657	6518
GO:0140236	"translation at presynapse"	140236	NaN	1.6812412373755872	0.2268996813749155	0.9070813435209945	0.63897707	6518
GO:0140241	"translation at synapse"	140241	NaN	1.6901960800285136	0.23172733417012648	0.907905923263095	0.64262085	6518
GO:0140242	"translation at postsynapse"	140242	NaN	1.6901960800285136	0.23172733417012648	0.9069115987969615	0.99595477	6518
GO:0006801	"superoxide metabolic process"	NaN	1.6127838567197355	0.19310611180843873	0.9503839322861506	0.10286683	null
GO:0042744	"hydrogen peroxide catabolic process"	42744	NaN	1.4471580313422192	0.13034662547069614	0.9350713099115477	0.80683325	6801
GO:0006978	"DNA damage response, signal transduction by p53 class mediator resulting in transcription of p21 class mediator"	NaN	0.9542425094393249	0.038621222361687746	0.9159262921770142	0.36459094	null
GO:0042772	"DNA damage response, signal transduction resulting in transcription"	42772	NaN	1	0.04344887515689872	0.9151928702729459	0.64402511	6978
GO:0006979	"response to oxidative stress"	NaN	2.57978359661681	1.829680409384957	0.9572264638420456	0.36280232	null
GO:0007005	"mitochondrion organization"	NaN	2.6414741105040997	2.1096842715071933	0.9329430950469396	0.33691178	null
GO:0007017	"microtubule-based process"	NaN	2.94546858513182	4.253162112580863	0.987260663871477	0.01795034	null
GO:0007049	"cell cycle"	NaN	3.1136091510730277	6.2662933281838376	0.9866137742509519	0.02126082	null
GO:0007229	"integrin-mediated signaling pathway"	NaN	1.9493900066449128	0.42483344597856526	0.9170084126698483	0.20957116	null
GO:0007252	"I-kappaB phosphorylation"	NaN	0.6989700043360189	0.019310611180843873	0.8713256237442011	0.44131619	null
GO:0007265	"Ras protein signal transduction"	NaN	1.8976270912904414	0.3765569180264555	0.9161647796918398	0.20666154	null
GO:0000165	"MAPK cascade"	165	NaN	2.322219294733919	1.0089794341990925	0.9079083374993857	0.61284788	7265
GO:0007264	"small GTPase-mediated signal transduction"	7264	NaN	2.3944516808262164	1.1924302404171092	0.9063451044023849	0.69111772	7265
GO:0007267	"cell-cell signaling"	NaN	2.967547976218862	4.475234141160567	0.9300064587194747	0.06271202	null
GO:0007420	"brain development"	NaN	2.888179493918325	3.7269479579028673	0.9473580577321457	0.40954264	null
GO:0007417	"central nervous system development"	7417	NaN	3.0111473607757975	4.948344115091243	0.9473155725861281	0.6378334	7420
GO:0016358	"dendrite development"	16358	NaN	2.1760912590556813	0.7193202664864343	0.896599381808731	0.67281121	7420
GO:0021533	"cell differentiation in hindbrain"	21533	NaN	1.505149978319906	0.14965723665154002	0.9540857266504785	0.630895	7420
GO:0021953	"central nervous system neuron differentiation"	21953	NaN	2.3096301674258988	0.9800135174278265	0.9409032018047906	0.72201793	7420
GO:0022008	"neurogenesis"	22008	NaN	3.180412632838324	7.309066331949405	0.9318782793493257	0.71424467	7420
GO:0030182	"neuron differentiation"	30182	NaN	3.0870712059065353	5.894564062952592	0.9286016878502208	0.88109842	7420
GO:0031175	"neuron projection development"	31175	NaN	2.905256048748451	3.8766051945544078	0.8762113734327418	0.83604654	7420
GO:0048666	"neuron development"	48666	NaN	2.9934362304976116	4.750410350487593	0.9298035303030555	0.8461785	7420
GO:0048667	"cell morphogenesis involved in neuron differentiation"	48667	NaN	2.7134905430939424	2.4910688423288594	0.9236329518085125	0.57513376	7420
GO:0048699	"generation of neurons"	48699	NaN	3.116275587580544	6.304914550545525	0.9292567107777638	0.75115649	7420
GO:0048812	"neuron projection morphogenesis"	48812	NaN	2.7442929831226763	2.6745196485468763	0.8724653550175069	0.85655618	7420
GO:0048813	"dendrite morphogenesis"	48813	NaN	1.9138138523837167	0.3910398764120884	0.8941592267659643	0.8290166	7420
GO:0048858	"cell projection morphogenesis"	48858	NaN	2.7551122663950713	2.74210678767983	0.8880398416065877	0.91340509	7420
GO:0060996	"dendritic spine development"	60996	NaN	1.6020599913279623	0.18827845901322776	0.9071895632281938	0.58233423	7420
GO:0120036	"plasma membrane bounded cell projection organization"	120036	NaN	3.1007150865730817	6.08284252196582	0.9173727937012668	0.8538298	7420
GO:0120039	"plasma membrane bounded cell projection morphogenesis"	120039	NaN	2.7489628612561616	2.703485565318142	0.8878378268759968	0.96731512	7420
GO:0008284	"positive regulation of cell population proliferation"	NaN	3.0178677189635055	5.025586559814618	0.9102740198589555	0.16883141	null
GO:0008643	"carbohydrate transport"	NaN	1.863322860120456	0.34759100125518977	0.9513907618623254	0.31103504	null
GO:0009057	"macromolecule catabolic process"	NaN	2.989894563718773	4.711789128125905	0.9173395916190552	0.26258619	null
GO:0000956	"nuclear-transcribed mRNA catabolic process"	956	NaN	2.012837224705172	0.4924205851115188	0.8053580383382133	0.84057818	9057
GO:0006309	"apoptotic DNA fragmentation"	6309	NaN	1.0413926851582251	0.04827652795210968	0.8735385511832062	0.6750983	9057
GO:0006401	"RNA catabolic process"	6401	NaN	2.1986570869544226	0.7579414888481221	0.8922788993281033	0.88066547	9057
GO:0006402	"mRNA catabolic process"	6402	NaN	2.110589710299249	0.6179395577870039	0.801199010380439	0.9317798	9057
GO:0006511	"ubiquitin-dependent protein catabolic process"	6511	NaN	2.682145076373832	2.3172733417012648	0.9038752194567625	0.88203543	9057
GO:0010498	"proteasomal protein catabolic process"	10498	NaN	2.576341350205793	1.815197450999324	0.9065942161010125	0.851761	9057
GO:0019439	"aromatic compound catabolic process"	19439	NaN	2.5854607295085006	1.8538186733610118	0.9020969088691583	0.68517909	9057
GO:0019941	"modification-dependent protein catabolic process"	19941	NaN	2.69284691927723	2.3752051752437966	0.9036077974547437	0.96732243	9057
GO:0030163	"protein catabolic process"	30163	NaN	2.870403905279027	3.5772907212513276	0.9004048564359081	0.84845428	9057
GO:0034655	"nucleobase-containing compound catabolic process"	34655	NaN	2.510545010206612	1.5593318528531428	0.8921612989620873	0.64801954	9057
GO:0043632	"modification-dependent macromolecule catabolic process"	43632	NaN	2.7015679850559273	2.423481703195906	0.9197825643993501	0.69019517	9057
GO:0044248	"cellular catabolic process"	44248	NaN	3.037027879755775	5.2524862411895334	0.9110953890691219	0.71856512	9057
