TermID	Name	Value	LogSize	Frequency	Uniqueness	Dispensability	Representative
GO:0000003	"reproduction"	NaN	3.2420442393695508	8.42425412764314	1	0	null
GO:0007049	"cell cycle"	NaN	3.1136091510730277	6.2662933281838376	0.9890067762771396	0.02031758	null
GO:0045944	"positive regulation of transcription by RNA polymerase II"	NaN	3.1085650237328344	6.1938785362556725	0.8605497760939546	0.46265471	null
GO:0009628	"response to abiotic stimulus"	NaN	3.062581984228163	5.571111325673458	0.9890449824295623	0.11260415	null
GO:0051726	"regulation of cell cycle"	NaN	3.016197353512439	5.006275948633774	0.9526194982898403	0.07547051	null
GO:0044087	"regulation of cellular component biogenesis"	NaN	2.997386384397313	4.793859225644492	0.9528622502360259	0.06132759	null
GO:0010629	"negative regulation of gene expression"	NaN	2.9845273133437926	4.653857294583374	0.8713878766191537	0.43756308	null
GO:0045934	"negative regulation of nucleobase-containing compound metabolic process"	45934	NaN	3.1911714557285586	7.492517138167424	0.8590602674387574	0.73189105	10629
GO:0051253	"negative regulation of RNA metabolic process"	51253	NaN	3.1565491513317814	6.918026455537318	0.8563074378424996	0.83605113	10629
GO:1902679	"negative regulation of RNA biosynthetic process"	1902679	NaN	3.1231980750319988	6.406295259244955	0.8538878712386374	0.90379335	10629
GO:0045892	"negative regulation of DNA-templated transcription"	45892	NaN	3.12057393120585	6.367674036883267	0.8535546438687177	0.88421257	10629
GO:0000122	"negative regulation of transcription by RNA polymerase II"	122	NaN	2.986323777050765	4.673167905764218	0.8580924670443247	0.67521923	10629
GO:0007267	"cell-cell signaling"	NaN	2.967547976218862	4.475234141160567	0.9406972389914375	0.15400894	null
GO:0007017	"microtubule-based process"	NaN	2.94546858513182	4.253162112580863	0.9895171861299945	0	null
GO:0070925	"organelle assembly"	NaN	2.920123326290724	4.011779472820315	0.8811309301291576	0.46175626	null
GO:0007010	"cytoskeleton organization"	7010	NaN	3.1061908972634154	6.160084966689196	0.8882874422875939	0.54006828	70925
GO:0140694	"non-membrane-bounded organelle assembly"	140694	NaN	2.5118833609788744	1.5641595056483537	0.8883556632697244	0.52229298	70925
GO:0000028	"ribosomal small subunit assembly"	28	NaN	1.255272505103306	0.08207009751858646	0.892095305910451	0.54814376	70925
GO:0033365	"protein localization to organelle"	NaN	2.8779469516291885	3.6400502075890704	0.9261443296839417	0.46879213	null
GO:0006259	"DNA metabolic process"	NaN	2.8488047010518036	3.4034952206237326	0.9447465629190825	0.2547753	null
GO:0034470	"ncRNA processing"	34470	NaN	2.60422605308447	1.9358887708795982	0.9405964939177949	0.56933072	6259
GO:0006310	"DNA recombination"	6310	NaN	2.387389826338729	1.1731196292362653	0.9449484255718119	0.53289033	6259
GO:0006364	"rRNA processing"	6364	NaN	2.3201462861110542	1.0041517814038814	0.872294885689568	0.84361715	6259
GO:0032200	"telomere organization"	32200	NaN	2.012837224705172	0.4924205851115188	0.8947486098981147	0.69621026	6259
GO:0000723	"telomere maintenance"	723	NaN	1.9867717342662448	0.46345466834025295	0.8544622697639586	0.66505287	6259
GO:0006304	"DNA modification"	6304	NaN	1.5797835966168101	0.17862315342280582	0.9435816441154816	0.60619529	6259
GO:0031053	"primary miRNA processing"	31053	NaN	1.0413926851582251	0.04827652795210968	0.8694311243715732	0.62252826	6259
GO:0031509	"subtelomeric heterochromatin formation"	31509	NaN	0.9030899869919435	0.03379356956647678	0.8086307750746217	0.79112407	6259
GO:0008285	"negative regulation of cell population proliferation"	NaN	2.8444771757456815	3.369701651057256	0.9144301849916339	0.07082279	null
GO:0032989	"cellular anatomical entity morphogenesis"	NaN	2.8363241157067516	3.3069421647195134	0.9433260544533549	0.34230855	null
GO:0048871	"multicellular organismal-level homeostasis"	NaN	2.835056101720116	3.2972868591290916	0.9522547626342075	0.11591411	null
GO:0040008	"regulation of growth"	NaN	2.812244696800369	3.1283190112967074	0.9604051717223508	0.03414577	null
GO:0034330	"cell junction organization"	NaN	2.7788744720027396	2.896591677126581	0.9237981725046603	0.26628177	null
GO:0099177	"regulation of trans-synaptic signaling"	NaN	2.7774268223893115	2.886936371536159	0.9351149897804534	0.42419547	null
GO:0050804	"modulation of chemical synaptic transmission"	NaN	2.776701183988411	2.882108718740948	0.9247544452939963	0.26069461	null
GO:0048167	"regulation of synaptic plasticity"	48167	NaN	2.4099331233312946	1.2358791155740079	0.9146359984717866	0.86715812	50804
GO:0050806	"positive regulation of synaptic transmission"	50806	NaN	2.2671717284030137	0.8882881143188183	0.9048894063968015	0.8325315	50804
GO:0060291	"long-term synaptic potentiation"	60291	NaN	1.8260748027008264	0.3186250844839239	0.898202665520455	0.74070498	50804
GO:0031915	"positive regulation of synaptic plasticity"	31915	NaN	1.1760912590556813	0.06758713913295356	0.931979071669783	0.63481168	50804
GO:0097435	"supramolecular fiber organization"	NaN	2.7745169657285498	2.867625760355315	0.9238823099945492	0.01795034	null
GO:0006518	"peptide metabolic process"	NaN	2.74350976472843	2.6696919957516654	0.9673850400934072	0.15130027	null
