TermID	Name	Value	LogSize	Frequency	Uniqueness	Dispensability	Representative
GO:0000226	"microtubule cytoskeleton organization"	NaN	2.7752462597402365	2.872453413150526	0.925062911173524	0.43760256	null
GO:0007010	"cytoskeleton organization"	7010	NaN	3.1061908972634154	6.160084966689196	0.927532750651306	0.51159781	226
GO:0010970	"transport along microtubule"	10970	NaN	2.2355284469075487	0.8255286279810756	0.8607481341476794	0.72439149	226
GO:0098937	"anterograde dendritic transport"	98937	NaN	1	0.04344887515689872	0.8906888125492192	0.73302855	226
GO:0098971	"anterograde dendritic transport of neurotransmitter receptor complex"	98971	NaN	0.7781512503836436	0.02413826397605484	0.8936345683228135	0.90782351	226
GO:0001778	"plasma membrane repair"	NaN	1.4771212547196624	0.14000193106111808	0.9381875790556158	0.27309721	null
GO:0002064	"epithelial cell development"	NaN	2.3502480183341627	1.076566573332046	0.9436212346524373	0.24581259	null
GO:0001885	"endothelial cell development"	1885	NaN	1.7160033436347992	0.2462102925557594	0.9494269147588068	0.68059008	2064
GO:0003323	"type B pancreatic cell development"	3323	NaN	1.2304489213782739	0.07724244472337549	0.9494970992855473	0.56334591	2064
GO:0061028	"establishment of endothelial barrier"	61028	NaN	1.4771212547196624	0.14000193106111808	0.9518740730253991	0.87416177	2064
GO:0005975	"carbohydrate metabolic process"	NaN	2.6127838567197355	1.9745099932412862	0.9151844761281223	0.19203775	null
GO:0006066	"alcohol metabolic process"	NaN	2.509202522331103	1.5545042000579319	0.8530871785163461	0.3917987	null
GO:0006082	"organic acid metabolic process"	6082	NaN	2.921686475483602	4.026262431205948	0.8224398076405538	0.72905627	6066
GO:0006729	"tetrahydrobiopterin biosynthetic process"	6729	NaN	0.9030899869919435	0.03379356956647678	0.860678106910607	0.60177098	6066
GO:0009063	"amino acid catabolic process"	9063	NaN	2.0253058652647704	0.5069035434971516	0.820226963824384	0.91069355	6066
GO:0016054	"organic acid catabolic process"	16054	NaN	2.359835482339888	1.1007048373081008	0.8180892151389441	0.89710865	6066
GO:0019752	"carboxylic acid metabolic process"	19752	NaN	2.9057958803678687	3.8814328473496187	0.8184636291670236	0.6650888	6066
GO:0043436	"oxoacid metabolic process"	43436	NaN	2.9138138523837167	3.9538476392777833	0.8181529954680159	0.95162284	6066
GO:0044283	"small molecule biosynthetic process"	44283	NaN	2.6522463410033232	2.1627884522545138	0.8425184594075691	0.58899423	6066
GO:0046146	"tetrahydrobiopterin metabolic process"	46146	NaN	0.9030899869919435	0.03379356956647678	0.8737417391975263	0.81673733	6066
GO:0046395	"carboxylic acid catabolic process"	46395	NaN	2.359835482339888	1.1007048373081008	0.8172297575894755	0.79986559	6066
GO:0055086	"nucleobase-containing small molecule metabolic process"	55086	NaN	2.7737864449811935	2.862798107560104	0.8178917924051444	0.69250462	6066
GO:1901606	"alpha-amino acid catabolic process"	1901606	NaN	1.9444826721501687	0.4200057931833543	0.8166103258797567	0.89353666	6066
GO:0006091	"generation of precursor metabolites and energy"	NaN	2.5646660642520893	1.7669209230472143	0.902829788934287	0.15865693	null
GO:0006101	"citrate metabolic process"	NaN	0.8450980400142568	0.02896591677126581	0.884885781378996	0.29430653	null
GO:0006457	"protein folding"	NaN	2.255272505103306	0.8641498503427634	0.8694633711642423	0.35613906	null
GO:0006458	"'de novo' protein folding"	6458	NaN	1.591064607026499	0.1834508062180168	0.8861671430502787	0.73746559	6457
GO:0051085	"chaperone cofactor-dependent protein refolding"	51085	NaN	1.5185139398778875	0.15448488944675098	0.8878488808588629	0.66794124	6457
GO:0061077	"chaperone-mediated protein folding"	61077	NaN	1.8195439355418688	0.31379743168871294	0.8805690039209482	0.7807809	6457
GO:0006508	"proteolysis"	NaN	3.0923696996291206	5.966978854880757	0.8680829349723147	0.452212	null
GO:0006520	"amino acid metabolic process"	NaN	2.428134794028789	1.2889832963213286	0.9192409270277864	0.12845319	null
GO:0006527	"arginine catabolic process"	NaN	0.9542425094393249	0.038621222361687746	0.8496764307426821	0.46115964	null
GO:0006793	"phosphorus metabolic process"	NaN	3.2005769267548483	7.6566573332045955	0.8829053951201081	0.26252505	null
GO:0006807	"nitrogen compound metabolic process"	NaN	3.773347541980823	28.642464033986677	0.8928895824547712	0.34345766	null
GO:0044237	"cellular metabolic process"	44237	NaN	3.7835462822703496	29.323163078111424	0.8801964953036736	0.52230363	6807
GO:0044238	"primary metabolic process"	44238	NaN	3.813247300897605	31.39905378005214	0.8910514422397268	0.51721055	6807
GO:0071704	"organic substance metabolic process"	71704	NaN	3.843481943039958	33.66322294100608	0.8896175606733275	0.55438533	6807
GO:0006811	"monoatomic ion transport"	NaN	2.99563519459755	4.774548614463648	0.877315629784308	0.44917383	null
GO:0016192	"vesicle-mediated transport"	16192	NaN	3.1048284036536553	6.140774355508352	0.8625894566520536	0.53309103	6811
GO:0071705	"nitrogen compound transport"	71705	NaN	3.1869563354654122	7.420102346239259	0.8698709374874467	0.50931703	6811
GO:0006836	"neurotransmitter transport"	NaN	2.155336037465062	0.6855266969199575	0.9018697001523912	0.24637245	null
GO:0006839	"mitochondrial transport"	NaN	2.2355284469075487	0.8255286279810756	0.8999611734299351	0.29387572	null
GO:0006914	"autophagy"	NaN	2.4727564493172123	1.4289852273824466	0.8746340510862933	0.45416826	null
GO:0006511	"ubiquitin-dependent protein catabolic process"	6511	NaN	2.682145076373832	2.3172733417012648	0.8540454266444568	0.88203543	6914
GO:0009057	"macromolecule catabolic process"	9057	NaN	2.989894563718773	4.711789128125905	0.8712437866288864	0.59048853	6914
GO:0010498	"proteasomal protein catabolic process"	10498	NaN	2.576341350205793	1.815197450999324	0.8584277031167148	0.851761	6914
GO:0019941	"modification-dependent protein catabolic process"	19941	NaN	2.69284691927723	2.3752051752437966	0.8536455881278688	0.96732243	6914
GO:0030163	"protein catabolic process"	30163	NaN	2.870403905279027	3.5772907212513276	0.8484269035256641	0.84845428	6914
GO:0043161	"proteasome-mediated ubiquitin-dependent protein catabolic process"	43161	NaN	2.469822015978163	1.4193299217920248	0.8618762095251212	0.91056333	6914
GO:0043632	"modification-dependent macromolecule catabolic process"	43632	NaN	2.7015679850559273	2.423481703195906	0.8782333337930661	0.69019517	6914
