TermID	Name	Value	LogSize	Frequency	Uniqueness	Dispensability	Representative
GO:0000338	"protein deneddylation"	NaN	1.0413926851582251	0.04827652795210968	0.9419149504694394	0.08789671	null
GO:0001952	"regulation of cell-matrix adhesion"	NaN	2.0644579892269186	0.5551800714492614	0.9646650287295943	0.04157856	null
GO:0001954	"positive regulation of cell-matrix adhesion"	1954	NaN	1.7853298350107671	0.2896591677126581	0.9454186732305055	0.82084896	1952
GO:0003013	"circulatory system process"	NaN	2.6720978579357175	2.2641691609539443	0.9755191818713207	0.39104157	null
GO:0003158	"endothelium development"	NaN	2.0043213737826426	0.4827652795210968	0.9661251881946934	0.18637143	null
GO:0002064	"epithelial cell development"	2064	NaN	2.3502480183341627	1.076566573332046	0.9418759306721289	0.6657397	3158
GO:0030855	"epithelial cell differentiation"	30855	NaN	2.8369567370595505	3.3117698175147243	0.9397751015370971	0.60465753	3158
GO:0060429	"epithelium development"	60429	NaN	3.095518042323151	6.010427730037655	0.9555029700194607	0.69302528	3158
GO:0005975	"carbohydrate metabolic process"	NaN	2.6127838567197355	1.9745099932412862	0.9356122287315425	0.19203775	null
GO:0005976	"polysaccharide metabolic process"	NaN	1.8864907251724818	0.3669016124360336	0.9324225125589599	0.15958557	null
GO:0000272	"polysaccharide catabolic process"	272	NaN	1.3010299956639813	0.0917254031090084	0.9131080124502264	0.61059613	5976
GO:0005977	"glycogen metabolic process"	5977	NaN	1.7634279935629373	0.2751762093270252	0.9024318997096235	0.86693756	5976
GO:0005980	"glycogen catabolic process"	5980	NaN	1.2041199826559248	0.07241479192816452	0.8896497137517831	0.88789874	5976
GO:0005996	"monosaccharide metabolic process"	5996	NaN	2.255272505103306	0.8641498503427634	0.880134266050036	0.76959408	5976
GO:0006006	"glucose metabolic process"	6006	NaN	2.093421685162235	0.5938012938109491	0.883767941249021	0.77900886	5976
GO:0009251	"glucan catabolic process"	9251	NaN	1.2304489213782739	0.07724244472337549	0.9138574557746754	0.97075191	5976
GO:0016052	"carbohydrate catabolic process"	16052	NaN	2.041392685158225	0.5262141546779955	0.9047734925862047	0.7088597	5976
GO:0019318	"hexose metabolic process"	19318	NaN	2.2013971243204513	0.762769141643333	0.8809613329802791	0.941803	5976
GO:0044042	"glucan metabolic process"	44042	NaN	1.7853298350107671	0.2896591677126581	0.9317187367844159	0.951854	5976
GO:0046365	"monosaccharide catabolic process"	46365	NaN	1.6020599913279623	0.18827845901322776	0.8740515558824319	0.82623687	5976
GO:0006091	"generation of precursor metabolites and energy"	NaN	2.5646660642520893	1.7669209230472143	0.9228386788872829	0.21163881	null
GO:0006112	"energy reserve metabolic process"	NaN	1.8864907251724818	0.3669016124360336	0.9153787915048069	0.17757298	null
GO:0006119	"oxidative phosphorylation"	6119	NaN	2.0644579892269186	0.5551800714492614	0.9108933627885272	0.9145401	6112
GO:0006120	"mitochondrial electron transport, NADH to ubiquinone"	6120	NaN	1.4313637641589874	0.12551897267548517	0.9209890474714632	0.8689304	6112
GO:0009060	"aerobic respiration"	9060	NaN	2.214843848047698	0.7869074056193878	0.9082343760468745	0.90198211	6112
GO:0015980	"energy derivation by oxidation of organic compounds"	15980	NaN	2.436162647040756	1.3131215602973834	0.9055142440235074	0.82768856	6112
GO:0019646	"aerobic electron transport chain"	19646	NaN	1.8129133566428555	0.30896977889350197	0.9147436202342326	0.93936282	6112
GO:0022900	"electron transport chain"	22900	NaN	2.041392685158225	0.5262141546779955	0.9137042195978229	0.73046562	6112
GO:0022904	"respiratory electron transport chain"	22904	NaN	2.0043213737826426	0.4827652795210968	0.91156721425	0.7816068	6112
GO:0042773	"ATP synthesis coupled electron transport"	42773	NaN	1.863322860120456	0.34759100125518977	0.9138364613814594	0.94942539	6112
GO:0042775	"mitochondrial ATP synthesis coupled electron transport"	42775	NaN	1.8512583487190752	0.3379356956647678	0.913950721125619	0.9469991	6112
GO:0045333	"cellular respiration"	45333	NaN	2.305351369446624	0.9703582118374047	0.9071236260558723	0.90207483	6112
GO:0006508	"proteolysis"	NaN	3.0923696996291206	5.966978854880757	0.9062492294312126	0.39470554	null
GO:0006518	"peptide metabolic process"	NaN	2.74350976472843	2.6696919957516654	0.9115605305796443	0.26034709	null
GO:0002181	"cytoplasmic translation"	2181	NaN	2.12057393120585	0.6324225161726369	0.8835632511259721	0.84971298	6518
GO:0006412	"translation"	6412	NaN	2.5888317255942073	1.868301631746645	0.8700197002752257	0.81615439	6518
GO:0006418	"tRNA aminoacylation for protein translation"	6418	NaN	1.6232492903979006	0.19793376460364973	0.881429085853472	0.63011569	6518
GO:0006432	"phenylalanyl-tRNA aminoacylation"	6432	NaN	0.6989700043360189	0.019310611180843873	0.9010207109646352	0.83118264	6518
GO:0006541	"glutamine metabolic process"	6541	NaN	1.3979400086720377	0.11586366708506324	0.8813500261230172	0.66154207	6518
GO:0009064	"glutamine family amino acid metabolic process"	9064	NaN	1.806179973983887	0.304142126098291	0.8712214464956817	0.83622312	6518
GO:0009066	"aspartate family amino acid metabolic process"	9066	NaN	1.6334684555795864	0.20276141739886067	0.8756821428123223	0.77395958	6518
GO:0009067	"aspartate family amino acid biosynthetic process"	9067	NaN	1.3424226808222062	0.10138070869943033	0.8755694182831716	0.73467101	6518
GO:0043038	"amino acid activation"	43038	NaN	1.662757831681574	0.21724437578449357	0.9366241261078717	0.69519543	6518
GO:0043039	"tRNA aminoacylation"	43039	NaN	1.6532125137753437	0.21241672298928263	0.8973350159324965	0.98851268	6518
GO:0043043	"peptide biosynthetic process"	43043	NaN	2.6148972160331345	1.9841652988317078	0.8726270968313232	0.90734276	6518
GO:0043604	"amide biosynthetic process"	43604	NaN	2.720159303405957	2.5296900646905476	0.8765024190164696	0.85003657	6518
GO:0140236	"translation at presynapse"	140236	NaN	1.6812412373755872	0.2268996813749155	0.8933836588316826	0.63897707	6518
GO:0140241	"translation at synapse"	140241	NaN	1.6901960800285136	0.23172733417012648	0.893862194145965	0.64262085	6518
GO:0140242	"translation at postsynapse"	140242	NaN	1.6901960800285136	0.23172733417012648	0.8931874588388475	0.99595477	6518
GO:1901605	"alpha-amino acid metabolic process"	1901605	NaN	2.3010299956639813	0.9607029062469827	0.8575883405016866	0.79709822	6518
GO:0006520	"amino acid metabolic process"	NaN	2.428134794028789	1.2889832963213286	0.9386211518757707	0.13258505	null
GO:0006551	"leucine metabolic process"	NaN	1.1139433523068367	0.05793183354253162	0.887536595734012	0.16850947	null
GO:0006552	"leucine catabolic process"	6552	NaN	1	0.04344887515689872	0.8699649110374702	0.86836867	6551
GO:0006605	"protein targeting"	NaN	2.3783979009481375	1.1489813652602103	0.8889836532872225	0.48584679	null
GO:0006629	"lipid metabolic process"	NaN	3.097604328874411	6.0393936468089215	0.9260543883949611	0.24680575	null
GO:0006790	"sulfur compound metabolic process"	NaN	2.5118833609788744	1.5641595056483537	0.9238835909286012	0.16861663	null
GO:0006793	"phosphorus metabolic process"	NaN	3.2005769267548483	7.6566573332045955	0.9074620482719853	0.26252505	null
GO:0006811	"monoatomic ion transport"	NaN	2.99563519459755	4.774548614463648	0.9020549119662815	0.44917383	null
GO:0016192	"vesicle-mediated transport"	16192	NaN	3.1048284036536553	6.140774355508352	0.8879176035688348	0.53309103	6811
GO:0055085	"transmembrane transport"	55085	NaN	3.1085650237328344	6.1938785362556725	0.8877928265346757	0.53394383	6811
GO:0071705	"nitrogen compound transport"	71705	NaN	3.1869563354654122	7.420102346239259	0.8963441562736405	0.50931703	6811
GO:0006836	"neurotransmitter transport"	NaN	2.155336037465062	0.6855266969199575	0.921053064845231	0.24883359	null
GO:0006839	"mitochondrial transport"	NaN	2.2355284469075487	0.8255286279810756	0.9195666712340459	0.29387572	null
GO:0006915	"apoptotic process"	NaN	3.0141003215196207	4.982137684657719	0.9794894998816085	0.01978273	null
GO:0012501	"programmed cell death"	12501	NaN	3.037027879755775	5.2524862411895334	0.9793596675806799	0.93905455	6915
GO:0051402	"neuron apoptotic process"	51402	NaN	2.1492191126553797	0.6758713913295356	0.9834700367658789	0.69825517	6915
GO:0097190	"apoptotic signaling pathway"	97190	NaN	2.5118833609788744	1.5641595056483537	0.9278854277357194	0.78011849	6915
GO:0097193	"intrinsic apoptotic signaling pathway"	97193	NaN	2.2405492482826	0.8351839335714974	0.929950859544913	0.7172395	6915
GO:0006936	"muscle contraction"	NaN	2.307496037913213	0.9751858646326156	0.9776559940466493	0.3185261	null
GO:0006979	"response to oxidative stress"	NaN	2.57978359661681	1.829680409384957	0.9879311892386371	0	null
GO:0006995	"cellular response to nitrogen starvation"	NaN	1	0.04344887515689872	0.9742592222083951	0.25760179	null
GO:0043562	"cellular response to nitrogen levels"	43562	NaN	1	0.04344887515689872	0.9760607156949619	0.57374024	6995
GO:0007005	"mitochondrion organization"	NaN	2.6414741105040997	2.1096842715071933	0.9276774207607368	0.40535079	null
GO:0007010	"cytoskeleton organization"	NaN	3.1061908972634154	6.160084966689196	0.9179679864691229	0.4878391	null
GO:0007017	"microtubule-based process"	NaN	2.94546858513182	4.253162112580863	0.9859225366519554	0.01906736	null
GO:0007030	"Golgi organization"	NaN	2.0718820073061255	0.5648353770396833	0.9338060517874116	0.31934617	null
