TermID	Name	Value	LogSize	Frequency	Uniqueness	Dispensability	Representative
GO:0000226	"microtubule cytoskeleton organization"	NaN	2.7752462597402365	2.872453413150526	0.9244642378930402	0.28087445	null
GO:0007010	"cytoskeleton organization"	7010	NaN	3.1061908972634154	6.160084966689196	0.9305175479826001	0.51159781	226
GO:0007015	"actin filament organization"	7015	NaN	2.4533183400470375	1.366225741044704	0.9166145017217061	0.86936878	226
GO:0008154	"actin polymerization or depolymerization"	8154	NaN	1.792391689498254	0.29448682050786906	0.9252174352916591	0.72850602	226
GO:0030036	"actin cytoskeleton organization"	30036	NaN	2.734799829588847	2.616587815004345	0.9126131942329135	0.72717449	226
GO:0030041	"actin filament polymerization"	30041	NaN	1.5797835966168101	0.17862315342280582	0.9199658644647609	0.52955772	226
GO:0030953	"astral microtubule organization"	30953	NaN	1.0791812460476249	0.05310418074732066	0.9420366729924287	0.54518124	226
GO:0051017	"actin filament bundle assembly"	51017	NaN	1.845098040014257	0.3331080428695568	0.9198802992909171	0.73811	226
GO:0061572	"actin filament bundle organization"	61572	NaN	1.863322860120456	0.34759100125518977	0.9241779448872722	0.74508733	226
GO:0001759	"organ induction"	NaN	1.414973347970818	0.1206913198802742	0.8707422260848665	0.48433219	null
GO:0003156	"regulation of animal organ formation"	3156	NaN	1.5185139398778875	0.15448488944675098	0.9434189191559503	0.7927262	1759
GO:0110110	"positive regulation of animal organ morphogenesis"	110110	NaN	1.6127838567197355	0.19310611180843873	0.925179094425356	0.82201162	1759
GO:0001823	"mesonephros development"	NaN	2.0293837776852097	0.5117311962923626	0.8444098083665091	0.29556849	null
GO:0001657	"ureteric bud development"	1657	NaN	2.0086001717619175	0.4875929323163078	0.8025152621785091	0.92516223	1823
GO:0001658	"branching involved in ureteric bud morphogenesis"	1658	NaN	1.7323937598229686	0.2558655981461813	0.7876159928267837	0.93651421	1823
GO:0003337	"mesenchymal to epithelial transition involved in metanephros morphogenesis"	3337	NaN	0.9030899869919435	0.03379356956647678	0.8182051229891868	0.92312136	1823
GO:0060675	"ureteric bud morphogenesis"	60675	NaN	1.8195439355418688	0.31379743168871294	0.785606522384862	0.97687906	1823
GO:0060677	"ureteric bud elongation"	60677	NaN	0.8450980400142568	0.02896591677126581	0.8106062192828275	0.7738687	1823
GO:0060993	"kidney morphogenesis"	60993	NaN	2.0086001717619175	0.4875929323163078	0.8273397506307911	0.75645685	1823
GO:0061326	"renal tubule development"	61326	NaN	2	0.47793762672588586	0.8197934254403009	0.74836637	1823
GO:0061333	"renal tubule morphogenesis"	61333	NaN	1.919078092376074	0.39586752920729945	0.8000909565219894	0.97334133	1823
GO:0072006	"nephron development"	72006	NaN	2.1903316981702914	0.7434585304624892	0.8396395365230275	0.78781245	1823
GO:0072009	"nephron epithelium development"	72009	NaN	2.0827853703164503	0.5793183354253162	0.8119001802256245	0.92262706	1823
GO:0072028	"nephron morphogenesis"	72028	NaN	1.9138138523837167	0.3910398764120884	0.8185680800117708	0.74102801	1823
GO:0072033	"renal vesicle formation"	72033	NaN	0.8450980400142568	0.02896591677126581	0.8271303881787733	0.7738687	1823
GO:0072073	"kidney epithelium development"	72073	NaN	2.1986570869544226	0.7579414888481221	0.8194430858600514	0.81944166	1823
GO:0072078	"nephron tubule morphogenesis"	72078	NaN	1.8920946026904804	0.3717292652312446	0.784451075961113	0.97814508	1823
GO:0072080	"nephron tubule development"	72080	NaN	1.9777236052888478	0.453799362749831	0.8006365350401234	0.88947788	1823
GO:0072088	"nephron epithelium morphogenesis"	72088	NaN	1.9030899869919435	0.3813845708216665	0.7958988848711676	0.98934022	1823
GO:0072160	"nephron tubule epithelial cell differentiation"	72160	NaN	0.47712125471966244	0.009655305590421936	0.8387653129440255	0.55213919	1823
GO:0072163	"mesonephric epithelium development"	72163	NaN	2.012837224705172	0.4924205851115188	0.8130107780937722	0.9867657	1823
GO:0072164	"mesonephric tubule development"	72164	NaN	2.012837224705172	0.4924205851115188	0.8023636967293011	0.99415413	1823
GO:0072171	"mesonephric tubule morphogenesis"	72171	NaN	1.8260748027008264	0.3186250844839239	0.7856247578962902	0.9550682	1823
GO:0001840	"neural plate development"	NaN	1.1760912590556813	0.06758713913295356	0.8806060476568267	0.41670924	null
GO:0003158	"endothelium development"	NaN	2.0043213737826426	0.4827652795210968	0.8738625029036328	0.41838059	null
GO:0042640	"anagen"	42640	NaN	0.9030899869919435	0.03379356956647678	0.8806841072962431	0.63708174	3158
GO:0098773	"skin epidermis development"	98773	NaN	2.1335389083702174	0.6517331273534808	0.8563540865036122	0.50984101	3158
GO:0003159	"morphogenesis of an endothelium"	NaN	1.0413926851582251	0.04827652795210968	0.8658175878959649	0.33105705	null
GO:0045446	"endothelial cell differentiation"	45446	NaN	1.9242792860618816	0.4006951820025104	0.8600384758506598	0.80689668	3159
GO:0048754	"branching morphogenesis of an epithelial tube"	48754	NaN	2.2380461031287955	0.8303562807762865	0.8182479559576042	0.57164348	3159
GO:0061154	"endothelial tube morphogenesis"	61154	NaN	1.0413926851582251	0.04827652795210968	0.8496959504914899	0.80689668	3159
GO:0003266	"regulation of secondary heart field cardioblast proliferation"	NaN	1.0791812460476249	0.05310418074732066	0.9643846857871962	0.3005408	null
GO:0003264	"regulation of cardioblast proliferation"	3264	NaN	1.1139433523068367	0.05793183354253162	0.9641829810083298	0.93204718	3266
GO:0003306	"Wnt signaling pathway involved in heart development"	NaN	0.47712125471966244	0.009655305590421936	0.8430068705446043	0.45664172	null
GO:0003339	"regulation of mesenchymal to epithelial transition involved in metanephros morphogenesis"	NaN	1	0.04344887515689872	0.9431462843340339	0.22955998	null
GO:0045603	"positive regulation of endothelial cell differentiation"	45603	NaN	1.0791812460476249	0.05310418074732066	0.9339978058461142	0.62660572	3339
GO:0072182	"regulation of nephron tubule epithelial cell differentiation"	72182	NaN	1.1139433523068367	0.05793183354253162	0.9420425771701298	0.92689294	3339
GO:0006072	"glycerol-3-phosphate metabolic process"	NaN	1.1139433523068367	0.05793183354253162	0.9350955284872251	0.4486987	null
GO:0006119	"oxidative phosphorylation"	NaN	2.0644579892269186	0.5551800714492614	0.9528576939101722	0.13935275	null
GO:0006754	"ATP biosynthetic process"	6754	NaN	1.9030899869919435	0.3813845708216665	0.8689664125701952	0.95028791	6119
GO:0009145	"purine nucleoside triphosphate biosynthetic process"	9145	NaN	1.9637878273455553	0.4393164043641981	0.870470088114808	0.96162812	6119
GO:0009201	"ribonucleoside triphosphate biosynthetic process"	9201	NaN	1.9822712330395684	0.458627015545042	0.8699580068015528	0.9780308	6119
GO:0009206	"purine ribonucleoside triphosphate biosynthetic process"	9206	NaN	1.9590413923210936	0.43448875156898714	0.8701831879387726	0.98181746	6119
GO:0015986	"proton motive force-driven ATP synthesis"	15986	NaN	1.8388490907372552	0.32828039007434584	0.8705116391742523	0.96094194	6119
GO:0042776	"proton motive force-driven mitochondrial ATP synthesis"	42776	NaN	1.792391689498254	0.29448682050786906	0.8676825625101441	0.87225284	6119
GO:0006518	"peptide metabolic process"	NaN	2.74350976472843	2.6696919957516654	0.9440611735744167	0.218903	null
GO:0002181	"cytoplasmic translation"	2181	NaN	2.12057393120585	0.6324225161726369	0.9170518924439509	0.71437886	6518
GO:0006694	"steroid biosynthetic process"	NaN	2.0170333392987803	0.4972482379067298	0.9173901594723668	0.41646486	null
GO:0006695	"cholesterol biosynthetic process"	6695	NaN	1.4913616938342726	0.14482958385632905	0.8941207821931666	0.82543847	6694
GO:0008203	"cholesterol metabolic process"	8203	NaN	2.0681858617461617	0.5600077242444723	0.8914696160663143	0.87729801	6694
GO:0016125	"sterol metabolic process"	16125	NaN	2.1271047983648077	0.6420778217630588	0.9060415729622573	0.82832712	6694
GO:0016126	"sterol biosynthetic process"	16126	NaN	1.6127838567197355	0.19310611180843873	0.8984834749336603	0.74218803	6694
GO:0046165	"alcohol biosynthetic process"	46165	NaN	1.9777236052888478	0.453799362749831	0.8951269328547564	0.82019245	6694
GO:1902653	"secondary alcohol biosynthetic process"	1902653	NaN	1.5563025007672873	0.1689678478323839	0.9019088503311888	0.83135349	6694
GO:0006836	"neurotransmitter transport"	NaN	2.155336037465062	0.6855266969199575	0.9660428464820013	0	null
GO:0007017	"microtubule-based process"	NaN	2.94546858513182	4.253162112580863	0.9896534371260451	0.01795034	null
GO:0007155	"cell adhesion"	NaN	2.964259630196849	4.441440571594091	0.9896001345626729	0.0192025	null
GO:0007167	"enzyme-linked receptor protein signaling pathway"	NaN	2.7895807121644256	2.9690064690547455	0.9174076076713008	0.17014782	null
GO:0007169	"transmembrane receptor protein tyrosine kinase signaling pathway"	7169	NaN	2.6263403673750423	2.0372694795790287	0.9178252773787514	0.56953267	7167
GO:0048012	"hepatocyte growth factor receptor signaling pathway"	48012	NaN	0.9030899869919435	0.03379356956647678	0.9417129879030465	0.57419871	7167
GO:0007268	"chemical synaptic transmission"	NaN	2.5921767573958667	1.8827845901322777	0.9103080669039257	0.2397497	null
GO:0007269	"neurotransmitter secretion"	7269	NaN	2	0.47793762672588586	0.8774000061562931	0.83677186	7268
GO:0016079	"synaptic vesicle exocytosis"	16079	NaN	1.845098040014257	0.3331080428695568	0.8749610477681576	0.96269971	7268
GO:0016082	"synaptic vesicle priming"	16082	NaN	1.3424226808222062	0.10138070869943033	0.8499840395027436	0.86911741	7268
GO:0035249	"synaptic transmission, glutamatergic"	35249	NaN	1.7781512503836436	0.2848315149174471	0.9246186949634708	0.79272846	7268
